tKr,tKr1,yKr,yKr1
738.49,738.49,1.0008,100.1
739.49,739.49,1.0008,100.1
740.49,740.49,1.0008,100.1
741.49,741.49,1.0008,100.1
742.49,742.49,1.0008,100.1
743.5,743.5,1.0008,100.1
744.5,744.5,1.0008,100.1
745.5,745.5,1.0008,100.1
746.5,746.5,1.0008,100.1
747.5,747.5,1.0008,100.1
748.5,748.5,1.0008,100.1
749.5,749.5,1.0008,100.1
750.5,750.5,1.0008,100.1
751.5,751.5,1.0008,100.1
752.5,752.5,1.0008,100.1
753.5,753.5,1.0008,100.1
754.5,754.5,1.0008,100.1
755.5,755.5,1.0008,100.1
756.5,756.5,1.0008,100.1
757.51,757.51,1.0008,100.1
758.51,758.51,1.0008,100.1
759.51,759.51,1.0008,100.1
760.51,760.51,1.0008,100.1
761.51,761.51,1.0008,100.1
762.51,762.51,1.0008,100.1
763.51,763.51,1.0008,100.1
764.51,764.51,1.0008,100.1
765.51,765.51,1.0008,100.1
766.51,766.51,1.0008,100.1
767.51,767.51,1.0008,100.1
768.51,768.51,1.0008,100.1
769.51,769.51,1.0008,100.1
770.51,770.51,1.0008,100.1
771.51,771.51,1.0008,100.1
772.52,772.52,1.0008,100.1
773.52,773.52,1.0008,100.1
774.52,774.52,1.0008,100.09
775.52,775.52,1.0008,100.09
776.52,776.52,1.0008,100.09
777.52,777.52,1.0008,100.09
778.52,778.52,1.0008,100.09
779.52,779.52,1.0008,100.09
780.52,780.52,1.0007,100.09
781.52,781.52,1.0007,100.09
782.52,782.52,1.0007,100.09
783.52,783.52,1.0007,100.09
784.52,784.52,1.0007,100.09
785.52,785.52,1.0007,100.09
786.52,786.52,1.0007,100.09
787.53,787.53,1.0007,100.09
788.53,788.53,1.0007,100.09
789.53,789.53,1.0007,100.09
790.53,790.53,1.0007,100.09
791.53,791.53,1.0007,100.09
792.53,792.53,1.0007,100.09
793.53,793.53,1.0007,100.09
794.53,794.53,1.0007,100.09
795.53,795.53,1.0007,100.08
796.53,796.53,1.0007,100.08
797.53,797.53,1.0007,100.08
798.53,798.53,1.0007,100.08
